060201  0o 0+ 1+ 1-  1o 1- 0+ 2+    7- Q8   4 0.1
060202  2- 1- 0+ 1+  1- 1- 2- 2-    9- Q0   4 0.1
060203  0+ 0+ 1- 2-  1- 1+ 3o 1+    9+      5 0.2
060204  2+ 3o 1+ 1o  1o 1o 0+ 0+   10+      6 0.3
060205  1o 0o 2- 1-  0+ 0+ 2- 1-    6+ Q6   3 0.1
060206  2- 4- 2o 2o  4- 2+ 3o 4-   22o D4* 14 0.8
060207  2o 1+ 1o 0o  0+ 1- 1+ 2-    8+      4 0.1
060208  3- 1- 1+ 1-  0+ 0o 0+ 0+    6+ Q9   4 0.1
060209  0o 0o 0+ 1-  1o 0o 1+ 1+    5- Q3   2 0.0
060210  1o 0+ 0o 0o  0o 0+ 2- 3o    6+      4 0.1
060211  2o 2o 2o 1-  2o 3- 1+ 0+   13o      6 0.3
060212  2+ 3o 2- 1-  1o 1+ 0o 0o   10o      5 0.2
060213  0o 0o 0o 0o  1- 2- 1o 1o    4+ Q5   2 0.0
060214  0o 0o 0o 0o  0+ 0o 0o 1+    2- Q1   1 0.0
060215  1- 1o 2o 3o  2o 2- 3+ 4-   17+ D5* 10 0.6
060216  3o 3- 3o 2+  1+ 1+ 2- 1+   17-      9 0.5
060217  1o 3- 2- 1-  1o 1o 0+ 1o    9+      5 0.2
060218  0o 0+ 0o 1-  2- 1- 1- 1-    5- Q4   2 0.0
060219  2o 2o 2o 1o  1+ 1+ 2+ 2-   14-      6 0.3
060220  2+ 2o 3- 3+  4+ 5- 3+ 3+   26o D1* 19 1.0
060221  3+ 4- 3o 4o  3+ 4- 3o 3-   27- D2* 19 1.0
060222  4o 3+ 3+ 3+  3- 3+ 2- 2-   23+ D3* 15 0.9
060223  2- 2o 1+ 1+  0+ 0+ 1o 1o    9o      4 0.2
060224  3- 2- 1o 2+  2+ 1- 0+ 0+   11+      6 0.3
060225  2o 1- 0+ 0+  0o 0o 0o 0o    3+ Q2   2 0.0
060226  1o 2+ 1- 0+  1+ 2o 2- 3-   12o      6 0.3
060227  2- 1+ 2- 1-  1- 0o 0+ 1+    8- Q7   4 0.1
060228  0+ 0o 1o 2o  1+ 1- 2- 2+    9+      4 0.2
0602                                  Mean  6 0.29

0602 Q 14  25   9  18  13   5  27   1   8   2 
0602 D 20* 21* 22*  6* 15*
