050501  4o 5- 4- 3+  4- 3o 4o 2+   29- D5  22 1.1
050502  2+ 2o 1+ 1+  2+ 2o 2- 2-   15- Q0A  7 0.3
050503  3- 2- 1+ 2+  3o 3- 2- 2-   17o      9 0.5
050504  2+ 2+ 1- 0+  1o 1- 1+ 1-    9+ Q8   5 0.2
050505  1o 1+ 1o 1+  1o 2- 1- 0+    8+ Q5   4 0.1
050506  1o 0o 0o 0+  2o 2- 2o 1+    8+ Q6   4 0.1
050507  1+ 1- 0+ 1o  3- 2o 3- 5-   15+     10 0.6
050508  6o 5+ 4- 6o  8+ 8- 5+ 4-   46o D2  91 1.9
050509  3o 3- 1o 1o  1- 2+ 3- 4-   17o     10 0.6
050510  3- 2o 2+ 1+  2- 1o 2o 2o   15o      7 0.4
050511  1o 0+ 2o 2o  2+ 3+ 4o 4-   19-     12 0.7
050512  2+ 4- 3o 2-  2+ 3o 4- 3+   23o     14 0.8
050513  5- 4o 4o 3-  3+ 4o 3- 2o   27+     21 1.1
050514  2- 1+ 2o 1+  1+ 2- 2+ 1-   12+ Q9   6 0.3
050515  6- 6- 8+ 8-  4o 4o 5o 5o   45+ D3  87 1.8
050516  4o 6+ 6o 4o  5o 5- 2- 2+   34o D4  41 1.5
050517  3+ 4+ 4- 2+  2o 4- 2- 3-   24-     16 0.9
050518  3- 2+ 2o 2o  2+ 2+ 0+ 1o   15o      7 0.4
050519  1o 2o 3o 2-  2- 1+ 2o 2o   15-      7 0.4
050520  3- 5- 5o 4o  3+ 3+ 2o 3-   28-     23 1.1
050521  3- 4o 4- 3o  3- 3- 4o 3o   26-     18 1.0
050522  4- 2o 2+ 2+  3- 1- 1o 1+   16o      9 0.5
050523  2- 1- 1- 1-  2+ 1+ 1- 1-    9- Q7   4 0.2
050524  1- 0+ 0o 0+  1o 0+ 1o 2o    6- Q4   3 0.1
050525  1+ 1o 1+ 1o  1- 1+ 0+ 0o    7o Q3   4 0.1
050526  0o 0+ 0+ 0+  0+ 0+ 0+ 0o    2o Q1   2 0.0
050527  0+ 1- 0+ 0+  1o 0o 0o 0o    3- Q2   2 0.0
050528  0+ 2o 1+ 2-  2- 4- 4o 3+   18o     12 0.7
050529  3o 3o 3o 3o  1+ 3o 3o 6-   25o     20 1.0
050530  4o 3+ 6+ 6+  7+ 8- 7- 5-   46+ D1  90 1.8
050531  3+ 4- 3- 3-  3+ 2o 2o 3-   22+     14 0.8
0505                                  Mean 19 0.68

0505 Q 26  27  25  24   5   6  23   4  14   2A
0505 D 30   8  15  16   1 
