050901  4+ 4o 2o 2o  3+ 1o 1o 3-   20+     14 0.8
050902  3- 3+ 4o 3+  4+ 6- 7- 4o   34o D5  39 1.4
050903  5+ 5o 4+ 4+  4- 2- 2- 3o   29o     27 1.2
050904  4- 4o 5- 5-  4- 3o 3- 3-   29o     24 1.1
050905  3+ 2+ 2+ 3o  2o 2+ 3o 2o   20+     11 0.6
050906  3o 2o 1- 2+  2o 2+ 1o 2-   15o Q0A  8 0.4
050907  3+ 3+ 1o 2-  1+ 3- 3o 0+   17-     10 0.6
050908  2+ 2o 1o 1o  1+ 1+ 2- 2o   13- Q5   6 0.3
050909  1+ 2o 1- 2-  4+ 4+ 4+ 3+   22o     17 0.9
050910  2+ 3- 4o 3+  4o 6- 5+ 5o   32+     33 1.3
050911  6+ 7o 8- 6+  7o 5+ 6o 5-   50+ D1 101 1.9
050912  5- 4+ 7o 6-  5- 6o 6o 7o   45+ D2  75 1.8
050913  6- 5- 4o 6o  6- 2o 5- 4-   36+ D4  44 1.5
050914  3+ 3- 4o 3+  4o 3+ 3+ 2o   26o     18 1.0
050915  3o 2- 3+ 6-  6+ 7o 5o 4+   36+ D3  52 1.6
050916  4- 4- 4- 4o  3+ 2+ 3+ 2+   26+     18 1.0
050917  1- 2o 1+ 3o  3o 4- 3o 3o   20-     12 0.7
050918  2- 3- 3o 3o  3- 2- 2- 1o   17+     10 0.5
050919  3- 1+ 2- 2-  2- 2o 1+ 1-   13o Q8   6 0.3
050920  1- 2o 1+ 2o  1+ 1- 1o 1-   10- Q3   5 0.2
050921  1+ 0+ 1+ 1+  1o 1- 0o 0o    6o Q2   3 0.1
050922  1o 2+ 2- 1o  2- 2+ 2+ 1-   13o Q7   6 0.3
050923  2- 3- 3- 1o  1o 1- 1o 1+   12o Q6K  6 0.3
050924  1+ 0+ 0+ 0+  1- 0+ 0+ 0+    4o Q1   2 0.0
050925  0+ 0o 0+ 2o  3o 1+ 0+ 2o    9+ Q4K  5 0.2
050926  4- 3o 2o 3-  4- 2+ 3o 3+   24-     15 0.8
050927  3+ 4o 2+ 2o  2- 2- 1+ 3+   20-     12 0.7
050928  3o 3- 3o 2o  2o 3+ 2- 2-   19+     11 0.6
050929  3- 2+ 2- 2o  2- 2+ 1- 1-   14o Q9A  7 0.3
050930  0+ 1+ 1+ 2-  4- 2+ 2o 3-   15+      8 0.5
0509                                  Mean 20 0.76

0509 Q 24  21  20  25K  8  23K 22  19  29A  6A
0509 D 11  12  15  13   2 
