050401  1- 2o 2+ 1o  1o 1o 1+ 1o   10+ Q0   5 0.2
050402  1- 0+ 1- 1o  1- 1+ 0+ 0+    5+ Q6   3 0.1
050403  2o 2- 1- 1o  1- 1o 2- 2o   11-      5 0.2
050404  1+ 2o 2o 3-  3- 4+ 5+ 6o   26+ D5  26 1.2
050405  7o 7- 5o 3+  3+ 3o 3o 5-   36o D1  50 1.6
050406  4- 3- 1+ 2o  2o 3- 2o 3-   19o     10 0.6
050407  3- 2+ 2+ 2o  2- 2- 0o 1-   13+      6 0.3
050408  2+ 0+ 1- 0+  1- 0+ 1o 0+    6o Q8   3 0.1
050409  2- 1- 0o 0+  0+ 0+ 0+ 1+    5o Q7   3 0.0
050410  1o 0+ 0+ 0+  1o 1- 0o 0+    4o Q1   2 0.0
050411  1+ 2- 0o 1-  1o 3o 4o 4o   16-     11 0.6
050412  5o 5o 3+ 3+  4+ 3- 4+ 4+   32+ D3  30 1.3
050413  3- 4+ 4o 4o  4+ 5o 4o 5-   33o D2  30 1.3
050414  3+ 4+ 2+ 2+  3o 3- 3o 3o   24o     16 0.9
050415  3- 3o 2o 2-  3o 3o 3- 4-   22-     13 0.7
050416  3o 1+ 1o 1-  1o 1+ 2o 2-   12o      6 0.3
050417  1+ 2+ 2- 0+  1o 0+ 1- 1-    8+ Q9   4 0.1
050418  1o 3- 2o 1o  2o 2- 1+ 2o   14-      6 0.3
050419  2- 2- 3- 1+  2+ 1+ 1o 2o   14o      7 0.3
050420  2+ 5- 4o 4+  4- 3o 2+ 2-   26o     20 1.0
050421  2- 0+ 1- 0o  0+ 1- 1- 0+    5- Q5   3 0.0
050422  2+ 1+ 1- 1-  3o 2- 3o 2o   15-      8 0.4
050423  1+ 1- 1o 1o  1o 2+ 2+ 2-   11+      6 0.2
050424  3o 3- 2- 1+  2o 2- 2- 2-   16-      8 0.4
050425  2+ 3+ 3- 2-  2o 1o 1o 2-   16-      8 0.4
050426  1- 0o 0+ 1-  1- 0+ 1o 1-    4+ Q3   2 0.0
050427  0o 0o 0o 1o  1+ 0+ 0o 0o    3- Q2   1 0.0
050428  0o 0o 0o 0+  1+ 1+ 1o 0+    4+ Q4   2 0.0
050429  1- 1o 2o 1+  3- 2o 3+ 4-   17-     10 0.5
050430  5o 3+ 3o 3+  4- 4- 3+ 4+   30- D4  24 1.2
0504                                  Mean 11 0.47

0504 Q 10  27  26  28  21   2   9   8  17   1 
0504 D  5  13  12  30   4 
