050101  2- 3+ 3o 2+  3o 3+ 4+ 4o   25o     18 1.0
050102  4+ 5- 5- 4o  3+ 6- 3+ 5+   35+ D5  37 1.4
050103  4- 4- 3- 4-  4o 4- 3o 2+   27-     19 1.0
050104  4+ 4+ 3+ 3o  5- 4+ 3+ 3+   31-     26 1.2
050105  4o 3+ 4- 3+  3+ 3+ 2o 2+   25+     17 0.9
050106  2o 0+ 0+ 0+  1- 1- 3- 1+    8+ Q5   4 0.2
050107  0+ 0o 0o 2-  5o 5+ 4o 8-   24o     40 1.4
050108  7o 6- 4o 4-  3+ 2o 2o 2+   30o     36 1.4
050109  1o 1o 0+ 3o  1- 0+ 1o 0o    7+ Q4K  4 0.1
050110  1- 1o 1o 1o  1+ 2+ 2+ 3-   12+ Q6   6 0.3
050111  2o 3o 4- 2+  1+ 3+ 2o 4o   22- Q9A 14 0.8
050112  4+ 5+ 4o 4+  5- 4o 4o 3+   34o     32 1.3
050113  3- 4- 3- 2o  2+ 3+ 4- 3o   23+ Q0A 15 0.8
050114  3- 3- 2+ 1+  1+ 1+ 4+ 5o   21o     16 0.9
050115  4- 4+ 4o 3o  3o 3+ 3- 2-   26-     18 1.0
050116  3+ 2+ 3- 3-  3+ 3+ 3o 4o   25-     16 0.9
050117  5o 4+ 4o 6o  6+ 6+ 5o 5-   42- D2  58 1.7
050118  7o 6- 8- 6-  5+ 5+ 5o 6-   47+ D1  84 1.8
050119  6+ 6o 7- 6o  5+ 4o 2+ 4-   40+ D4  60 1.7
050120  2+ 2o 2o 3o  4o 5- 3o 3o   24o     17 0.9
050121  3+ 2o 2+ 2+  3- 7- 8o 7+   35- D3  66 1.7
050122  6- 6o 4- 3-  4- 3+ 4o 3o   32o     33 1.3
050123  4- 4- 3+ 3-  3+ 4o 3- 3+   27-     19 1.0
050124  3o 2- 2- 2o  3o 3o 2o 2-   18o Q8A 10 0.5
050125  1o 0+ 1o 1o  1- 1o 2- 1o    8- Q3   4 0.1
050126  1- 0+ 0+ 1-  1- 0+ 1- 1-    4+ Q1   3 0.0
050127  0+ 0o 0+ 0+  0o 1- 1o 1+    4o Q2   2 0.0
050128  2+ 2- 1- 1-  1- 1- 3- 3-   12o Q7K  6 0.3
050129  3+ 2o 3o 4o  3+ 3o 4o 4+   27o     20 1.0
050130  4o 4+ 3o 3+  3o 3- 2o 2o   24+     17 0.9
050131  3+ 3- 3o 4-  5- 4o 3o 1-   25o     19 1.0
0501                                  Mean 24 0.92

0501 Q 26  27  25   9K  6  10  28K 24A 11A 13A
0501 D 18  17  21  19   2 
