060501  0o 0+ 1o 1-  0o 0o 0o 0+    2+ Q2   1 0.0
060502  2- 0o 1o 0+  1- 1o 1+ 1-    7- Q9   3 0.1
060503  1o 0+ 0+ 0o  0o 1- 2- 2-    6- Q8   3 0.1
060504  1- 2- 3- 2o  5- 3+ 3- 2+   20o     13 0.8
060505  4o 3o 3- 2+  1+ 1o 0+ 1o   16-     10 0.5
060506  1+ 3- 1+ 1+  4- 5o 4+ 5-   24+ D1  21 1.1
060507  3o 4- 5o 3+  3- 2o 3- 2+   25- D2* 18 1.0
060508  2+ 3- 2o 1+  1- 0+ 1- 1-   11-      6 0.2
060509  1- 0+ 1o 1+  0+ 1o 0+ 1o    6o Q5   3 0.1
060510  0o 0o 0o 0+  0+ 0+ 2- 3-    5+      3 0.1
060511  3o 4- 4- 3o  3o 2+ 3+ 4-   26- D3* 17 0.9
060512  4+ 3+ 3+ 2o  3o 2- 2o 2+   22o D4* 14 0.8
060513  3+ 3+ 2o 2-  2- 1o 2+ 2+   18-     10 0.5
060514  3o 3- 2- 1+  1+ 1- 1- 1o   12+      7 0.3
060515  1o 1o 1- 0+  1- 1- 1- 1+    6+ Q6   3 0.1
060516  1- 0+ 0o 0+  1- 0+ 0o 0+    3- Q1   2 0.0
060517  1+ 2- 1- 1-  2- 2o 1- 1+   10o      5 0.2
060518  1+ 2o 3o 3-  2- 4+ 4- 2+   21o D5* 14 0.8
060519  2- 2o 2o 1-  1o 1+ 2o 2+   13o      6 0.3
060520  2- 1+ 2- 2-  1- 2- 2- 1+   12-      5 0.2
060521  3- 1- 1o 1+  0+ 2o 3- 1+   12o      6 0.3
060522  3- 1o 1- 1+  2- 2+ 2o 4-   15+      8 0.5
060523  3o 1+ 1+ 1o  1+ 1- 0+ 0o    9o      5 0.2
060524  0+ 1+ 1+ 1o  2- 1o 0o 0o    7-      3 0.1
060525  0+ 1+ 1o 0+  0+ 0+ 1+ 2-    7- Q0   4 0.1
060526  1+ 1- 1- 0+  1o 1o 1- 1-    6+ Q7   3 0.1
060527  1o 0+ 0+ 0+  0+ 0+ 0o 1-    3+ Q3   2 0.0
060528  1o 2- 1o 2o  1+ 1- 1o 2-   10+      5 0.2
060529  1- 0+ 0+ 0+  0+ 1- 1- 1+    5- Q4   3 0.0
060530  1o 1o 0+ 2-  4- 2+ 3- 2-   14+      8 0.4
060531  2+ 1o 1o 1-  2- 1o 2- 1-   10o      5 0.2
0605                                  Mean  7 0.33

0605 Q 16   1  27  29   9  15  26   3   2  25 
0605 D  6   7* 11* 12* 18*
