070301  4+ 3- 3- 2o  3- 2+ 1- 1-   18o     11 0.6
070302  0o 1+ 2o 1o  1o 1- 1+ 1+    9-      4 0.1
070303  0o 0o 0+ 0o  1- 1- 0+ 1-    3- Q3   2 0.0
070304  0o 0+ 1o 1o  1o 0+ 1+ 2o    7o Q0   4 0.1
070305  3o 1- 1- 3o  2o 2- 4- 2+   17o     10 0.6
070306  4- 5- 2+ 4-  4- 2- 1o 3+   24o D3* 18 1.0
070307  4- 3+ 3+ 3+  3o 3+ 3- 3-   25+ D4* 17 0.9
070308  3- 2o 1- 1-  0+ 0+ 1o 0+    8o      4 0.2
070309  0o 0+ 0o 0o  1- 1- 1o 1o    4- Q5   2 0.0
070310  2- 1o 1o 1o  1- 1o 2o 1o    9+      4 0.2
070311  1- 0+ 1o 3-  2+ 2+ 3- 2+   14+      8 0.4
070312  1+ 2+ 1o 3-  4- 3- 3o 3o   20-     12 0.7
070313  5o 4o 4o 4o  3+ 3+ 3o 3o   30- D1  24 1.2
070314  3+ 3+ 2o 3-  3o 2+ 2+ 1o   20o D5* 12 0.7
070315  1+ 2+ 3- 2o  2o 2o 3- 3+   18+     10 0.5
070316  4o 4- 1o 1o  2+ 1o 2- 4-   18+     12 0.7
070317  3o 3- 2- 2-  2- 2- 1+ 0o   14-      7 0.4
070318  1- 0+ 1- 1-  1+ 1+ 1- 1-    6+ Q8   3 0.1
070319  0o 1- 0+ 1o  0+ 0+ 0+ 1-    4- Q4   2 0.0
070320  0o 0o 0o 0o  0+ 0+ 0+ 0+    1+ Q1   1 0.0
070321  0o 0o 1- 0+  1- 0+ 0o 0o    2o Q2   1 0.0
070322  1o 1o 0+ 1-  0+ 1+ 1- 0+    6- Q7   3 0.1
070323  0+ 1+ 1+ 2+  3- 3+ 2+ 3+   17o     10 0.5
070324  4o 5- 4- 4-  4- 2- 1+ 1+   24o D2* 18 1.0
070325  2+ 1+ 2o 4+  3+ 1+ 1o 1+   17o     11 0.6
070326  1o 2- 1+ 2-  2o 4+ 3o 2+   17+     10 0.6
070327  2o 3- 3- 3+  1+ 2o 3+ 2-   19o     11 0.6
070328  3o 3o 2o 1+  1- 1o 1o 0+   12+      7 0.3
070329  1o 1- 0o 0+  0+ 0+ 1- 1+    5- Q6   3 0.0
070330  3- 2- 1+ 2-  1+ 0+ 0o 0o    9o      4 0.2
070331  0o 0+ 1o 1-  1+ 1- 1- 2o    7- Q9   3 0.1
0703                                  Mean  8 0.40

0703 Q 20  21   3  19   9  29  22  18  31   4 
0703 D 13  24*  6*  7* 14*
