060601  2o 2o 2- 3o  2o 3- 3o 2o   18+     10 0.5
060602  2+ 2+ 2o 1+  1o 2- 1+ 1-   13-      6 0.3
060603  1+ 1- 1+ 1-  2- 1o 0+ 1-    8-      4 0.1
060604  0+ 0+ 0+ 0+  0+ 0+ 1- 0+    3o Q2   2 0.0
060605  1- 1- 0+ 0+  0+ 1o 1o 0+    5- Q6   3 0.0
060606  2o 2- 4o 5-  4- 4- 5+ 4o   29o D1  26 1.2
060607  4o 3+ 3+ 3o  3+ 3o 3+ 5-   28o D3  21 1.1
060608  4o 3+ 4- 3o  3o 4o 3o 3-   27- D4* 19 1.0
060609  3+ 2o 2+ 2+  2- 2- 2+ 2-   17+      9 0.5
060610  2+ 2o 2- 1+  2+ 2o 2+ 2-   16-      7 0.4
060611  2o 2- 1o 1o  2- 1o 1o 2-   11o      5 0.2
060612  1o 0+ 1- 0+  1+ 1o 1- 1o    6+ Q0   3 0.1
060613  1o 0+ 0+ 0+  1- 0+ 1- 1-    4+ Q5   3 0.0
060614  1o 1- 1- 1+  1o 1+ 3- 3+   12o      7 0.3
060615  2+ 3+ 4+ 4o  4- 4- 4- 3+   28+ D2  21 1.1
060616  3o 2o 2+ 1+  1o 2- 3- 2o   16o      8 0.4
060617  2o 2+ 3+ 2-  2+ 2o 2o 1-   16+      8 0.4
060618  0+ 2- 3- 3-  1o 1- 1- 1o   11-      6 0.3
060619  2o 1- 1- 0o  0+ 0+ 0o 0+    4+ Q8   2 0.0
060620  2- 0+ 0+ 1-  1o 1o 0+ 0+    6- Q9   3 0.1
060621  0o 0+ 0+ 0+  1- 1- 1- 1-    4- Q4   2 0.0
060622  1o 2o 1+ 1o  1+ 1o 2o 1-   10+      5 0.2
060623  0o 0+ 0+ 0+  0+ 1- 1o 0+    3+ Q3   2 0.0
060624  0o 0+ 0+ 0+  1o 1o 1+ 1-    5o Q7   3 0.0
060625  2o 1o 1- 1o  1o 1o 0+ 1o    8o      4 0.1
060626  0+ 0+ 0o 0+  1- 0+ 0+ 0o    2+ Q1   2 0.0
060627  1- 0+ 0+ 1-  2o 2- 2o 2o   10-      5 0.2
060628  3- 2+ 3+ 3o  4o 2o 3- 3o   23o D5* 14 0.8
060629  3- 2o 2o 2+  2+ 3o 3- 3-   20-     10 0.6
060630  2+ 2- 2o 2o  3o 2o 1+ 1+   16-      8 0.4
0606                                  Mean  8 0.34

0606 Q 26   4  23  21  13   5  24  19  20  12 
0606 D  6  15   7   8* 28*
