070101  1+ 1- 1o 3-  4- 3- 2o 2+   16+      9 0.5
070102  5- 4+ 2+ 4o  5- 3o 3- 3+   29o D4  24 1.2
070103  2+ 4- 3o 4-  4+ 4o 3o 4-   28- D5  20 1.0
070104  3o 4- 4o 3+  3o 3+ 3- 3-   26-     17 0.9
070105  3- 2+ 2o 2+  3o 2+ 2- 2-   18o      9 0.5
070106  1+ 2o 1- 0+  1- 3- 1+ 1+   10+      5 0.2
070107  0+ 0o 0o 0+  1- 0o 0o 0+    2- Q2   1 0.0
070108  1- 1+ 0o 0+  1o 1o 1+ 0+    6o Q7   3 0.1
070109  0o 0+ 1+ 1-  1o 1+ 2- 1-    7o Q9   4 0.1
070110  0+ 2+ 2- 2o  1+ 3- 1+ 1o   13-      6 0.3
070111  1+ 2+ 2+ 1+  2o 2- 2- 1o   14-      6 0.3
070112  3o 0+ 0+ 0+  0+ 0+ 0o 0o    5-      3 0.1
070113  0o 0o 0o 0o  0o 0o 0o 0o    0o Q1   0 0.0
070114  0o 0o 0+ 0+  2- 1- 1+ 2o    6+ Q0   3 0.1
070115  2o 3- 3o 3o  5o 3o 3- 1o   22+     16 0.9
070116  0+ 5- 1o 1+  2o 3- 3- 4o   19-     14 0.8
070117  4+ 4- 4o 3+  3+ 3- 5- 4+   30+ D2  25 1.2
070118  3o 3+ 3+ 3+  3o 3+ 3+ 4o   27-     18 1.0
070119  3o 4+ 2o 2o  3- 2+ 2o 3o   21+     13 0.7
070120  3o 2o 2+ 2+  1o 1+ 2- 2+   16o      8 0.4
070121  2+ 3o 3o 2o  2- 2- 2- 0+   16-      8 0.4
070122  1- 0o 1o 1o  1- 1- 2- 0o    6- Q6   3 0.1
070123  1+ 2o 0+ 1o  0+ 0+ 0o 0o    5+ Q8   3 0.0
070124  0o 0o 0+ 1-  0+ 1o 1o 1-    4o Q3   2 0.0
070125  0o 0o 0+ 1o  0+ 0+ 0+ 2-    4o Q4   2 0.0
070126  1- 0+ 1o 1-  1o 1- 0o 1o    5+ Q5   3 0.1
070127  1- 2o 0+ 1-  1- 0o 1- 2o    7o      4 0.1
070128  2+ 2o 1- 1-  0+ 0+ 1+ 2-    9+      5 0.2
070129  3+ 2+ 3o 2o  5+ 5+ 5- 4o   30o D1  28 1.2
070130  4- 4+ 4o 3+  4- 3+ 4- 4o   30o D3  24 1.1
070131  3+ 3o 3+ 3+  3o 4o 4o 3+   27+     20 1.0
0701                                  Mean 10 0.47

0701 Q 13   7  24  25  26  22   8  23   9  14 
0701 D 29  17  30   2   3 
