060801  3- 3o 3+ 3o  2+ 3o 1o 2-   20o     12 0.7
060802  3- 3- 2o 2+  2o 2- 1+ 3o   18-      9 0.5
060803  3- 1+ 1- 1o  1- 1- 1+ 1+   10-      5 0.2
060804  0+ 1o 0+ 0o  0o 0o 1- 1-    3o Q3   2 0.0
060805  1+ 1+ 1- 0+  0+ 0+ 1- 0+    5+ Q9   3 0.1
060806  1- 0+ 1- 0+  1o 1+ 0+ 1-    5+ Q7   3 0.1
060807  3o 4- 5o 6-  4+ 5- 3+ 3-   32+ D2  32 1.3
060808  2+ 3- 3+ 2+  2+ 2o 2+ 1-   18o     10 0.5
060809  2o 3+ 1o 3o  2o 1+ 1o 3o   17-      9 0.5
060810  1- 0+ 0+ 0+  1- 0+ 1- 3o    6+      4 0.1
060811  1+ 1+ 1o 1+  2o 2- 1- 1o   10+      5 0.2
060812  2o 2+ 1+ 1o  1+ 2- 1o 1-   11+      5 0.2
060813  0o 0o 0+ 1-  0+ 1- 0+ 0+    3- Q1   2 0.0
060814  0+ 0o 1- 1-  1+ 1- 0+ 0+    4+ Q5   2 0.0
060815  0+ 1- 1- 1-  0+ 1o 0+ 1+    5+ Q8   3 0.1
060816  1o 0+ 0+ 1-  1o 0+ 0+ 1-    5- Q4   3 0.0
060817  0o 0+ 2o 1o  2- 1+ 2- 2o   10o      5 0.2
060818  2o 4- 3- 2+  2+ 3- 2o 3-   20+     11 0.6
060819  2- 1o 1- 3-  6- 6- 6- 6o   29o D1  38 1.4
060820  5+ 6o 2o 1o  2o 2+ 2+ 2-   23- D3  22 1.1
060821  2o 3o 2- 2-  2o 3- 3o 4+   20+     12 0.7
060822  3+ 2+ 5o 4+  4- 4+ 3+ 2o   28+ D4  23 1.1
060823  2- 2+ 3- 0+  0+ 0+ 0+ 1o    9o      5 0.2
060824  2o 1o 1- 0+  1o 2- 1o 1+    9o Q0   4 0.2
060825  0+ 0o 0o 1o  0+ 0+ 0+ 0o    2+ Q2   2 0.0
060826  1- 0+ 1- 0+  0+ 0+ 1+ 1o    5o Q6   3 0.1
060827  2- 2- 1+ 3-  4o 5- 4- 3o   23- D5* 16 0.9
060828  4- 3o 2+ 2-  2- 3- 3- 3-   20+     12 0.7
060829  3- 2- 2+ 3-  1+ 2+ 2- 1-   15+      8 0.4
060830  1o 1o 2+ 2o  1+ 2- 2+ 1+   13o      6 0.3
060831  1o 1o 2+ 1o  2- 3- 3- 3-   15o      8 0.4
0608                                  Mean  9 0.41

0608 Q 13  25   4  16  14  26   6  15   5  24 
0608 D 19   7  20  22  27*
