041201  2o 3+ 4o 3-  1o 2o 1+ 3-   19o     12 0.7
041202  2- 1o 1o 0+  0+ 1+ 1o 0+    7o Q4   4 0.1
041203  1- 0+ 0+ 0+  1- 1- 1o 1o    5o Q2   3 0.1
041204  0o 0o 0o 0o  0o 0o 0o 0o    0o Q1   0 0.0
041205  0+ 1o 4+ 2o  2- 2o 2- 2-   15-      9 0.5
041206  2+ 3o 4o 3o  4+ 4- 4- 4-   28- D2  20 1.0
041207  3o 3o 3o 2+  3o 3- 4- 3o   24-     15 0.8
041208  3- 3o 3- 2-  2+ 2+ 2o 3+   20o     11 0.6
041209  3- 1- 1o 2+  2o 2o 2+ 2+   15+      8 0.4
041210  2o 2+ 2o 2o  2+ 3o 2+ 3o   19o     10 0.5
041211  1- 1+ 3- 1o  4+ 3+ 3+ 4o   21-     15 0.8
041212  5- 4o 4o 4o  3o 5+ 3+ 3o   31+ D1  28 1.2
041213  4+ 4- 3- 1+  1- 1o 0+ 0+   14+     10 0.6
041214  0+ 1o 2+ 2+  2+ 1+ 2+ 2o   14o Q9A  7 0.3
041215  2+ 2o 2o 0o  1- 2+ 1+ 2o   13- Q7   6 0.3
041216  2o 3+ 2+ 0+  3- 2+ 4- 4o   21-     13 0.8
041217  3+ 4o 3+ 3o  2+ 3+ 2+ 3+   25o     16 0.9
041218  4+ 4- 2+ 2o  3o 2o 2o 1-   20o     13 0.7
041219  1+ 1- 1o 1-  0o 0o 1- 1-    5o Q3   3 0.0
041220  2+ 1- 1o 1o  1o 0+ 1- 1+    8+ Q6   4 0.1
041221  2o 1- 3o 4+  2- 3- 3- 3-   20-     12 0.7
041222  3+ 4+ 4+ 4+  3o 3- 2o 2+   26+ D3  20 1.0
041223  2+ 1+ 1+ 1o  1+ 2+ 2- 2+   14- Q8   6 0.3
041224  1- 0o 0+ 0+  1o 2o 1- 1+    6+ Q5   3 0.1
041225  4- 4o 4o 2+  1+ 2- 2+ 2+   22-     14 0.8
041226  3- 3- 2o 2o  2- 3o 3o 3-   20-     11 0.6
041227  2o 2+ 3- 1+  1o 1o 3- 3-   16-      8 0.4
041228  2+ 2+ 2o 2+  2+ 3+ 5- 4+   24- D5* 16 0.9
041229  4+ 4- 3- 3o  3+ 3- 1o 3o   24-     16 0.9
041230  3- 3+ 5- 3o  4- 4- 2o 3-   26- D4* 18 1.0
041231  3- 2o 2- 2o  2o 1+ 1- 2o   14+ Q0A  7 0.3
0412                                  Mean 11 0.56

0412 Q  4   3  19   2  24  20  15  23  14A 31A
0412 D 12   6  22  30* 28*
