070201  3o 2- 2+ 2+  1+ 1o 2+ 3-   17-      9 0.5
070202  1- 1o 2- 1o  1- 1+ 1- 1o    8o      4 0.1
070203  2- 2- 1- 1-  0o 0o 0o 0o    5- Q9   2 0.0
070204  0+ 0+ 1o 1o  0o 0o 0+ 1-    4- Q3   2 0.0
070205  1o 1+ 1o 1o  2o 2- 2o 2o   12o      6 0.2
070206  2- 3- 3- 2o  0+ 1o 1o 1-   12o      6 0.3
070207  3o 2o 3- 3o  2+ 2+ 4- 3-   22- D5* 13 0.7
070208  2+ 3+ 2+ 2o  2o 3- 1+ 1o   17o      9 0.5
070209  2- 3- 2o 1o  0+ 1- 1+ 1o   11-      5 0.2
070210  2o 1o 0+ 0+  0+ 2- 2- 1o    8+      4 0.1
070211  0o 1- 0o 0o  0o 0o 2- 2-    4o Q7   2 0.0
070212  0+ 0+ 0+ 2+  3o 3- 2o 3o   14o      8 0.4
070213  3o 3o 2+ 2o  2- 3+ 4+ 6-   25+ D2  21 1.1
070214  4+ 3o 3o 3+  2+ 3+ 4+ 2+   26o D3* 18 1.0
070215  3- 4+ 2o 3-  2o 2+ 3o 2+   21+ D4* 13 0.7
070216  2o 2o 2- 1o  2o 2- 2+ 3o   16-      8 0.4
070217  3- 3- 1+ 1+  3- 2+ 1+ 3-   17o      9 0.5
070218  2- 0o 1o 2-  1+ 2- 2- 1+   10+      5 0.2
070219  0o 0o 0+ 1-  1+ 2- 0+ 1-    5o Q8   3 0.0
070220  0o 0+ 0o 1-  0+ 1- 0o 1o    3o Q2   2 0.0
070221  0+ 1- 0o 0o  0o 0o 0o 0o    1o Q1   1 0.0
070222  0o 0o 0o 0o  1- 1+ 1- 2-    4+ Q5   2 0.0
070223  2- 1- 0o 0o  0+ 1- 1o 1-    5o Q6   3 0.0
070224  2o 0o 0+ 0+  0+ 0o 0+ 0+    4- Q4   2 0.0
070225  1+ 1- 0+ 0o  1- 1- 2- 1-    6o Q0   3 0.1
070226  3o 3+ 2- 2-  0o 0o 0o 0o   10-      6 0.3
070227  0o 0+ 3o 2o  1+ 3o 4- 4o   17+     12 0.7
070228  4- 4+ 4+ 4-  3- 3o 3o 4o   29- D1  22 1.1
0702                                  Mean  7 0.32

0702 Q 21  20   4  24  22  23  11  19   3  25 
0702 D 28  13  14* 15*  7*
