041101  3o 1- 1- 1+  2o 1+ 0o 1+   10+ Q7K  5 0.2
041102  1+ 0o 1o 1o  1+ 2- 2- 1o    9o Q4   4 0.1
041103  1- 0+ 1- 2+  1+ 3- 3+ 4+   16-     10 0.6
041104  2o 3o 2+ 1+  1o 2o 2o 3-   16+      8 0.4
041105  3o 1o 0+ 1-  0o 0+ 1- 0o    6o Q5K  4 0.1
041106  0o 0o 0o 0+  0+ 0o 1- 0o    1+ Q1   1 0.0
041107  2- 3o 1- 3+  3o 5- 6+ 8o   31- D4  50 1.6
041108  9- 9- 8+ 7o  5o 3- 4+ 5+   50o D2 140 1.9
041109  6- 6o 5o 6o  7o 7- 9- 7o   52o D3 119 1.9
041110  8- 8+ 9- 8+  7+ 6+ 5+ 4+   56+ D1 161 2.0
041111  4o 5o 4+ 4-  2+ 3o 2+ 4+   29o     24 1.2
041112  5- 5- 4o 4+  3+ 4o 4+ 4o   33+ D5  30 1.3
041113  2+ 2o 2+ 2-  1+ 2o 1- 2+   15- Q0A  7 0.3
041114  4o 3- 2o 1+  1o 1+ 1o 0+   14-      8 0.4
041115  0+ 0+ 1- 0o  0+ 0+ 0o 0+    2+ Q2   2 0.0
041116  0o 1- 2+ 2+  2+ 3- 2o 2+   15-      7 0.4
041117  1+ 2- 3o 2+  0+ 0+ 0+ 1-   10o Q8K  6 0.2
041118  1o 0+ 0o 0o  0+ 1- 0+ 0o    3- Q3   2 0.0
041119  0o 2- 1- 0o  0o 1o 2- 2+    7+ Q6   4 0.1
041120  3+ 4- 3- 4o  4- 4- 4- 3-   27+     20 1.0
041121  2+ 2+ 3o 4-  4- 4o 3o 3o   25o     17 0.9
041122  2o 3- 3o 2+  1o 1o 1+ 1+   15-      8 0.4
041123  2+ 1o 1- 2-  1- 2- 2- 2+   12o Q9   6 0.3
041124  3o 2o 2o 2+  2o 1+ 1+ 3-   17-      8 0.5
041125  4o 4+ 3o 3-  4o 3- 3+ 3o   27o     20 1.0
041126  3- 3o 3- 2+  2- 3- 2o 4-   21-     12 0.7
041127  2- 1+ 2+ 2o  2o 4- 3o 3o   19o     11 0.6
041128  4- 3o 3+ 2-  2o 3- 3- 3-   22-     13 0.7
041129  3o 3o 3+ 3o  3- 3o 3+ 4o   25+     17 0.9
041130  4o 4o 3o 2o  2+ 3- 4o 3+   25+     18 1.0
0411                                  Mean 25 0.69

0411 Q  6  15  18   2   5K 19   1K 17K 23  13A
0411 D 10   8   9   7  12 
