050201  3o 0+ 1- 2-  1+ 2- 1- 1o   10+ Q9K  6 0.2
050202  1- 2+ 2o 2-  2- 3o 3+ 1+   16o      9 0.5
050203  2o 4o 3+ 2o  1o 1+ 1o 1-   15+      9 0.5
050204  0o 0o 0+ 2-  1+ 2- 1- 1-    6+ Q3   3 0.1
050205  0+ 1- 1o 0+  1o 0o 0+ 0o    4- Q1   2 0.0
050206  1o 3- 3+ 2-  1o 1+ 3- 3o   17-     10 0.5
050207  3o 3+ 2+ 3o  5- 4- 6- 5+   31o D3  30 1.3
050208  4o 5+ 4- 3+  4- 4+ 5o 4+   34- D2  32 1.3
050209  3+ 4+ 5- 4o  4- 3+ 4- 4-   31- D4  25 1.2
050210  4- 4- 4- 3+  4o 3o 4o 3-   28o D5  21 1.1
050211  3- 3- 2+ 3+  2+ 1+ 3o 3o   21-     12 0.7
050212  2o 2+ 1+ 0+  1- 1- 2- 0o    9o Q7   4 0.2
050213  2- 1o 1- 1-  0+ 1- 2o 0+    7+ Q5   4 0.1
050214  1- 2+ 1+ 1o  1+ 1- 2o 2o   11+ Q0   5 0.2
050215  1- 1o 2- 0+  0+ 0+ 1+ 1+    7o Q4   4 0.1
050216  3o 2o 1+ 2+  3+ 4- 3+ 3+   22+     14 0.8
050217  2- 2o 0o 1+  1o 1+ 1- 4-   12-      6 0.3
050218  6+ 5- 5- 3o  4- 4+ 2+ 2o   31o D1  32 1.3
050219  1+ 2o 3+ 4o  4- 3+ 3o 3-   23+     16 0.9
050220  4o 3+ 3o 0+  1+ 3o 3o 3o   21o     14 0.8
050221  3o 3- 1+ 1o  1o 1- 0+ 1o   11o      6 0.3
050222  0+ 1o 0o 0+  1o 2- 2- 2-    8- Q6   4 0.1
050223  1+ 0+ 1+ 1-  1- 0+ 1+ 1-    7- Q2   4 0.1
050224  0o 0+ 1+ 1+  3o 1+ 1o 1+   10- Q8K  5 0.2
050225  1o 1+ 2o 2+  2o 3+ 3+ 2o   17+      9 0.5
050226  3o 2+ 2+ 2+  3o 3- 2+ 2-   20-     10 0.6
050227  0+ 3- 3- 1o  3o 2- 2- 1+   14+      8 0.4
050228  2o 3- 3o 3+  3- 2+ 2o 4-   22-     13 0.7
0502                                  Mean 11 0.54

0502 Q  5  23   4  15  13  22  12  24K  1K 14 
0502 D 18   8   7   9  10 
