060401  0o 0o 0o 0+  1- 0+ 0o 0o    1+ Q3   1 0.0
060402  0o 0o 0o 0+  1o 0o 0+ 0+    2o Q5   1 0.0
060403  0o 0o 0o 0+  0+ 1- 0+ 1-    2+ Q4   2 0.0
060404  0+ 0+ 2- 2o  2- 2+ 3- 3+   14+      8 0.4
060405  4- 5- 4o 4o  5+ 5- 3+ 2o   32- D4  29 1.3
060406  1+ 3- 4- 1+  2- 1o 1+ 2-   15-      8 0.4
060407  1- 0+ 1o 1-  1- 0+ 0o 1-    4+ Q7   2 0.0
060408  1+ 0o 0+ 2-  1o 1o 1o 2-    8o      4 0.1
060409  4+ 5o 6o 4+  4+ 4- 5- 6o   38+ D2  46 1.5
060410  3+ 4o 4- 2o  3o 3- 3- 2-   23o     15 0.8
060411  2o 2+ 1- 1o  1o 1- 0+ 2-   10-      5 0.2
060412  0o 0+ 0o 0o  0+ 0+ 0+ 0o    1+ Q2   1 0.0
060413  1+ 2o 2o 3o  4o 4- 2- 3o   21-     13 0.7
060414  4+ 6o 7- 7o  5o 5+ 4o 4+   43- D1  65 1.7
060415  4- 4o 5- 4+  4o 5o 4+ 4-   34- D3  31 1.3
060416  4- 3o 2+ 2o  2o 2+ 2- 2-   19-     10 0.6
060417  2o 1o 1o 1-  0+ 1- 1+ 3+   10+      6 0.3
060418  4o 3o 1o 1-  0+ 1- 1o 1+   12o      8 0.4
060419  2- 0o 1- 1-  0+ 0+ 0+ 1-    5- Q8   3 0.0
060420  0o 1o 1- 2+  3o 1+ 1- 0o    9o      5 0.2
060421  1o 1+ 1o 1o  2o 4o 1+ 1+   13o      8 0.4
060422  4+ 4+ 3+ 5-  3+ 2o 1o 1-   24- D5* 19 1.0
060423  1o 3o 3o 1+  1- 1+ 0+ 2o   13-      7 0.4
060424  3- 2o 2- 2-  1- 0+ 0+ 2o   11+      6 0.3
060425  3- 1- 0+ 0+  1o 1+ 1- 0o    7o      4 0.1
060426  2- 2- 1- 0+  0+ 1- 0+ 0o    6- Q9   3 0.1
060427  1o 1+ 1o 1-  1+ 1+ 1- 1o    8+ Q0   4 0.1
060428  3o 3- 4- 3o  2- 1- 1- 1+   17-     10 0.6
060429  1- 0+ 0+ 1-  0+ 0+ 0+ 1-    4- Q6   2 0.0
060430  0o 0o 0o 0o  0o 0o 0o 0o    0o Q1   0 0.0
0604                                  Mean 11 0.43

0604 Q 30  12   1   3   2  29   7  19  26  27 
0604 D 14   9  15   5  22*
