060701  1- 2o 1o 1o  1+ 0+ 0+ 0+    7o      4 0.1
060702  0+ 0+ 0+ 0+  0+ 1- 0+ 0o    3- Q2   2 0.0
060703  0o 0+ 1- 1-  0+ 1- 1o 1-    4+ Q7   2 0.0
060704  0+ 1o 1- 2o  4- 3o 3o 4o   18-     12 0.7
060705  4+ 4o 5o 2o  2- 2+ 2+ 3o   25- D2* 19 1.0
060706  3+ 2- 3- 2-  1+ 2- 1+ 2-   15+      8 0.4
060707  2- 1o 1o 1+  2o 2+ 1+ 1o   12-      6 0.2
060708  0+ 1- 1o 0+  0+ 0+ 0+ 1-    4o Q5   2 0.0
060709  0+ 0+ 0+ 0+  0+ 0+ 1- 3+    6o      4 0.1
060710  3- 1+ 1- 2-  3o 3+ 3o 1+   17o     10 0.6
060711  0+ 1- 1- 1o  2o 2+ 3- 2+   12o      6 0.3
060712  2+ 2o 2+ 4o  4o 2- 1+ 1+   19o D5* 12 0.7
060713  2o 2+ 2- 1+  1o 0+ 0+ 1-   10-      5 0.2
060714  1- 1+ 1- 2o  4+ 4o 3+ 2+   19- D4* 13 0.7
060715  0+ 2- 1+ 1o  2o 1- 1- 1o    9-      4 0.1
060716  0o 1+ 1o 0+  0+ 1o 1- 0+    5o Q8   3 0.0
060717  1- 1o 1- 1-  1o 1- 1o 0o    6- Q9   3 0.1
060718  0+ 1- 0o 1-  0+ 1- 1- 0+    4- Q3   2 0.0
060719  1- 1o 0+ 0o  0o 0o 0+ 1-    3o Q4   2 0.0
060720  0+ 1o 0+ 1-  1- 0+ 0+ 1-    4+ Q6   3 0.0
060721  1- 0+ 0+ 0+  0+ 0o 0+ 0o    2+ Q1   2 0.0
060722  1- 2- 1o 1-  0+ 1- 0+ 2-    7o      4 0.1
060723  1+ 1o 1o 1o  1- 1- 1- 1-    7o Q0   4 0.1
060724  1- 0+ 2- 1+  2- 2+ 1o 2-   11-      5 0.2
060725  2+ 3- 1+ 0+  1+ 1o 1o 2+   12+      6 0.3
060726  3- 1+ 1- 1o  1- 1o 0+ 0+    8o      4 0.2
060727  1- 0+ 1- 1-  2o 2o 3o 4-   13o      8 0.4
060728  6o 5+ 4- 3o  2+ 2o 1- 1+   24+ D1  25 1.2
060729  2o 1- 1o 1o  1- 1- 1+ 1-    8o      4 0.1
060730  1o 1+ 1o 1-  0+ 1- 0+ 2-    7o      4 0.1
060731  2- 3- 3o 4-  4o 2+ 2o 3o   22+ D3* 14 0.8
0607                                  Mean  6 0.28

0607 Q 21   2  18  19   8  20   3  16  17  23 
0607 D 28   5* 31* 14* 12*
