061101  2- 2o 1o 1o  2o 2o 2- 2-   13o      6 0.3
061102  2+ 2o 1o 1o  2- 3- 3o 2+   16o      8 0.4
061103  2o 2+ 1+ 2+  3+ 1+ 1+ 0+   14+      8 0.4
061104  2o 3- 2- 2o  1+ 2o 2+ 2-   16-      7 0.4
061105  0o 1o 2o 2o  2o 1+ 1- 1-   10- Q9   4 0.2
061106  0o 0o 1+ 1-  0o 0o 1- 1o    4- Q7   2 0.0
061107  0o 0o 0o 0o  0o 0o 0o 0o    0o Q1   0 0.0
061108  1- 0o 0o 0o  0o 0o 0o 0o    1- Q2   0 0.0
061109  1- 0o 0+ 0o  1+ 3o 3+ 5-   13+     10 0.6
061110  5o 5o 5- 6o  4o 2+ 4o 3-   34- D1  36 1.4
061111  4o 4- 4o 3+  3o 4o 3+ 3o   28+ D3  21 1.1
061112  3o 3- 2o 2o  2- 1- 0+ 0+   13-      7 0.3
061113  1- 1- 1o 0o  0o 0o 0o 0o    2+ Q6   1 0.0
061114  0o 1+ 1o 1-  1o 2- 2- 3o   10+ Q0K  5 0.2
061115  3- 3- 0+ 1+  1o 1o 1+ 3-   13o      7 0.4
061116  4+ 2+ 2- 1-  1- 1- 0+ 0+   11o      8 0.4
061117  2o 3- 1o 1o  2+ 1+ 1- 0+   11+      6 0.3
061118  0o 0o 0o 1-  0+ 0+ 0+ 0+    2o Q5   1 0.0
061119  1+ 2- 2- 2o  0o 0+ 0o 0+    7+ Q8   4 0.1
061120  0+ 0+ 0o 0o  1- 0o 0o 0o    1+ Q3   1 0.0
061121  1- 0o 0o 0o  1- 0o 0o 0o    1+ Q4   1 0.0
061122  0o 0o 0+ 2-  2- 1o 3- 3o   10+      6 0.3
061123  1+ 2o 3o 3+  3o 3o 3+ 4o   23o     15 0.8
061124  3o 4+ 4o 3-  3+ 2o 3- 2+   24+ D4* 16 0.9
061125  3- 3o 2- 2-  3o 4o 4o 3o   23o D5* 15 0.9
061126  3o 3+ 3+ 2+  2+ 2- 3+ 3o   22+     14 0.8
061127  2+ 2o 2+ 3o  1+ 2o 3- 1o   17-      8 0.5
061128  1+ 1+ 1o 1+  2o 2- 2- 2+   13-      6 0.3
061129  2+ 4- 2o 1-  0+ 1- 2- 2-   13o      7 0.4
061130  3- 4o 5o 5-  5+ 4+ 2- 1o   29- D2  28 1.2
0611                                  Mean  9 0.42

0611 Q  7   8  20  21  18  13   6  19   5  14K
0611 D 10  30  11  24* 25*
