050301  2+ 2+ 3+ 3+  1+ 2o 2- 3+   20-     11 0.6
050302  4- 3o 3o 3+  3o 3+ 1+ 1+   22o     14 0.8
050303  1+ 1o 1- 0+  1+ 1+ 2o 1-    9- Q8   4 0.1
050304  1- 0o 0+ 0+  0+ 1- 1o 0+    4- Q1   2 0.0
050305  1+ 3- 2+ 1+  2o 2+ 3o 4o   19o     11 0.6
050306  5+ 4- 4+ 4o  3o 5o 5- 5+   35+ D2  37 1.4
050307  5- 4+ 5+ 4+  4o 5- 6- 4o   37o D1  40 1.4
050308  5- 5+ 4o 3o  3- 4- 4+ 4+   32o D3  29 1.3
050309  3+ 4+ 3+ 3-  3- 4- 5o 5-   30- D4  25 1.2
050310  4- 3+ 3o 3-  3- 4- 2+ 1+   23-     14 0.8
050311  2+ 2+ 2- 1o  1o 1- 0o 1+   10+      5 0.2
050312  2- 1- 1o 0o  0+ 1- 0+ 2-    6+ Q3   3 0.1
050313  1+ 0o 0o 1-  1- 1+ 2+ 3+   10-      5 0.2
050314  4+ 4o 3- 3o  5- 3- 2o 2+   26-     19 1.0
050315  2o 1o 1o 1-  1- 0o 0+ 2o    8- Q6   4 0.1
050316  1- 0+ 1- 2-  3o 2o 2o 2o   12+      6 0.3
050317  3o 4- 2+ 2+  2- 4+ 2o 1+   21-     13 0.8
050318  1- 1o 1+ 2-  1- 2- 4o 4o   15o     10 0.6
050319  5- 4o 2- 2-  1+ 0o 0+ 1o   15-     11 0.6
050320  0+ 2o 1o 1o  1o 0+ 1o 0+    7o Q4   4 0.1
050321  0+ 0+ 1+ 3+  3+ 2- 1o 1+   13-      8 0.4
050322  0+ 0+ 0+ 0+  1- 1- 1o 2-    5+ Q2   3 0.1
050323  0+ 0o 0+ 0+  2- 1o 2o 2-    7+ Q5   4 0.1
050324  0+ 1- 0+ 1-  3- 1o 2- 2-    9o Q0   5 0.2
050325  2- 4- 4o 3o  4- 4- 3- 4+   27- D5  20 1.0
050326  2- 4- 3+ 4-  4- 3o 3o 2o   24o     16 0.9
050327  2+ 2o 3o 3-  3o 4- 4- 2o   22+     14 0.8
050328  2- 2- 1+ 0+  0+ 0+ 1+ 2-    9- Q7   4 0.1
050329  0o 1o 1- 0+  1- 1+ 1- 3-    7+ Q9   4 0.1
050330  3- 3- 3- 2-  1o 2o 1- 0+   14-      7 0.4
050331  1+ 3o 2+ 1o  1- 3- 3+ 2+   17-      9 0.5
0503                                  Mean 12 0.54

0503 Q  4  22  12  20  23  15  28   3  29  24 
0503 D  7   6   8   9  25 
