061201  1o 1- 1- 1o  1- 1o 3- 2-    9+      5 0.2
061202  1- 1- 1- 0o  0+ 1- 0+ 1-    4o Q4   2 0.0
061203  1o 2- 1- 0o  0+ 1- 1o 1+    7- Q8   3 0.1
061204  0o 0o 0o 0o  0o 0o 0+ 0+    1- Q1   0 0.0
061205  0o 0o 0o 2+  1- 1o 1- 2-    6+ Q9   3 0.1
061206  4- 4- 3+ 5-  4o 3+ 5- 4-   31o D4  26 1.2
061207  5o 4o 4+ 4-  4- 4- 2+ 3+   30o D5  25 1.2
061208  3+ 5o 4+ 4-  3+ 3o 4- 3o   29+     24 1.1
061209  2- 2o 1+ 0+  0o 3- 3- 4-   14+      8 0.4
061210  2+ 3+ 2o 3-  4- 4o 3- 4-   24+     16 0.9
061211  3o 4- 4- 2o  2- 1- 2o 4+   21o     14 0.8
061212  3o 5+ 4- 2+  4+ 4o 4o 4o   31- D3  27 1.2
061213  3+ 3+ 1o 1-  0+ 1o 1o 3-   13+      8 0.4
061214  3o 2+ 2o 2o  5o 5+ 5+ 8-   33- D2  47 1.5
061215  8+ 8- 7- 6-  6o 4o 4o 4-   46o D1  94 1.9
061216  3o 3+ 1+ 1+  1- 3- 3+ 3+   19o     12 0.7
061217  3o 1+ 1o 0+  1- 1+ 3- 1o   11+      6 0.3
061218  2- 2+ 1o 2o  2- 3- 2+ 4+   18o     11 0.6
061219  3o 3+ 2o 3+  3+ 2+ 2+ 2+   22o     13 0.7
061220  4o 3+ 3o 3-  4- 4- 5- 5-   30-     24 1.2
061221  5- 3+ 4- 3+  3o 3+ 2+ 2o   26-     18 1.0
061222  3+ 3+ 4- 4+  3o 3- 3- 3+   26+     18 1.0
061223  3- 3- 4- 2+  3+ 4o 3+ 2+   24+     16 0.9
061224  3- 2+ 2+ 2o  3o 3+ 3o 2o   21-     12 0.7
061225  3+ 3- 2+ 1+  2o 2o 0+ 1+   15+      8 0.4
061226  1+ 1o 2- 1-  2o 2- 1o 0o    9+ Q0   4 0.2
061227  1- 1- 0+ 0+  1- 1- 0+ 0+    4o Q3   2 0.0
061228  0+ 0o 0o 0+  0+ 1- 1+ 1+    4+ Q7   2 0.0
061229  1o 0+ 0o 0+  0+ 1- 1o 1-    4+ Q5   2 0.0
061230  1o 0+ 0+ 1o  1- 1- 1o 0+    5+ Q6   3 0.1
061231  1- 0o 0o 0+  0+ 0+ 0+ 1-    3- Q2   2 0.0
0612                                  Mean 15 0.61

0612 Q  4  31  27   2  29  30  28   3   5  26 
0612 D 15  14  12   6   7 
