051001  3o 3+ 3+ 2+  2- 2- 3o 3+   22-     13 0.8
051002  4- 4- 4- 2+  2o 3+ 2- 3-   23o D4* 15 0.8
051003  3- 3- 2o 2-  1o 1- 1+ 1+   13+      7 0.3
051004  1+ 1+ 0+ 1o  1o 0+ 1- 0+    6+ Q8   3 0.1
051005  1- 1o 1- 1-  1o 1- 1+ 1-    7- Q7   4 0.1
051006  1o 1+ 1- 1-  1+ 1+ 1+ 0+    8o Q0   4 0.1
051007  2- 2o 2- 2o  2o 2o 3o 5-   19o     12 0.7
051008  4+ 4+ 4+ 4o  3o 2o 5- 4-   30+ D1  26 1.2
051009  3o 2o 2- 2o  2o 1o 3o 3+   18o     10 0.6
051010  3o 3- 3- 3o  2- 1- 1- 3-   17o     10 0.5
051011  3+ 2- 1- 1-  2- 2o 2- 2-   13+      7 0.3
051012  0+ 1- 0+ 0o  1- 0o 0o 1o    3o Q2   2 0.0
051013  1- 1o 1o 1o  1- 1- 2o 1-    8-      4 0.1
051014  1- 2o 0+ 0+  0+ 0o 0o 0+    4o Q5   2 0.0
051015  0+ 1- 1- 0+  0+ 0o 1- 1-    4- Q1   2 0.0
051016  0+ 2- 2o 1+  1+ 2o 2o 3+   14o      7 0.4
051017  3+ 4+ 3+ 3-  3- 3- 1o 0+   20+ D5* 14 0.8
051018  1- 2+ 1o 1o  2o 2- 2- 1-   11o      5 0.2
051019  2o 3- 1+ 1+  2o 2o 1o 1+   14-      6 0.3
051020  1+ 0+ 1o 1-  0o 0+ 0+ 1-    5- Q4   3 0.0
051021  0o 0o 0o 0+  0o 0o 0+ 2+    3o Q6   2 0.0
051022  4o 3- 1o 0+  1o 0+ 1+ 1o   12-      8 0.4
051023  1o 0+ 0+ 0+  1- 1- 1- 0o    4o Q3   2 0.0
051024  1o 0+ 0o 0+  1+ 2o 2o 1+    8+      4 0.1
051025  4o 4+ 4- 4o  2- 3+ 3o 4-   28- D2  21 1.1
051026  2o 2o 3o 2o  2o 4- 3o 2-   19+     11 0.6
051027  3o 1o 0+ 2o  3- 3+ 2o 0+   15-      8 0.5
051028  0+ 1- 1+ 2o  2o 1+ 2o 1+   11o      5 0.2
051029  0+ 0o 1+ 0+  0o 1+ 2- 0+    5+ Q9   3 0.0
051030  1o 2o 0+ 1o  1o 1o 2o 2o   10+      5 0.2
051031  1o 2o 1+ 2-  3o 4o 5o 4o   22o D3* 17 0.9
0510                                  Mean  8 0.36

0510 Q 15  12  23  20  14  21   5   4  29   6 
0510 D  8  25  31*  2* 17*
