051101  3+ 2o 1- 2-  2- 3+ 2- 3-   17o     10 0.5
051102  2- 2- 1- 0+  1o 1o 4- 4-   14-      9 0.5
051103  4- 5- 3o 4-  3+ 4o 4o 3+   30- D1  24 1.1
051104  4- 4+ 3+ 3o  3- 3+ 4+ 2+   27o D2  20 1.0
051105  3o 3+ 4o 2-  2o 3- 2o 3o   22-     13 0.8
051106  4o 3- 2+ 3-  2- 3+ 3o 3o   23- D4* 14 0.8
051107  3o 2- 2o 1+  1o 2- 2- 2-   14o      7 0.3
051108  1o 1- 1o 1-  0o 1o 1o 1-    6o Q4   3 0.1
051109  2+ 1- 0+ 1-  0o 1- 1- 1-    6o Q6   3 0.1
051110  0o 0o 1o 0+  0o 0o 1o 2-    4o Q3   2 0.0
051111  1- 3- 1o 1o  1o 2o 1+ 1o   11-      5 0.2
051112  3- 3o 2o 2o  3o 3+ 3- 2+   21o     12 0.7
051113  3o 4o 3- 2+  3- 3o 2- 3+   23- D3* 14 0.8
051114  3+ 3+ 2- 2o  2o 1- 2- 2o   17-      9 0.5
051115  1+ 1o 2- 2-  1+ 0+ 1- 1+    9+ Q7   4 0.2
051116  0+ 1+ 0+ 0+  0+ 1o 1- 1o    5+ Q1   3 0.1
051117  1- 0o 2+ 1-  0o 0o 0o 0o    4- Q5   2 0.0
051118  0o 0o 1o 0+  1+ 2o 2+ 0+    7+ Q8   4 0.1
051119  1o 1- 0+ 0o  1+ 4o 4o 3+   15-     11 0.6
051120  1+ 3- 3o 2o  1o 2- 2- 2o   15+      8 0.4
051121  2o 2+ 1- 1-  1- 1o 1o 0+    9- Q9   4 0.2
051122  1+ 0+ 2o 1+  2o 2+ 2- 2+   13+      6 0.3
051123  2- 3- 3- 2-  2o 2- 1+ 2-   15+      8 0.4
051124  2- 2o 2o 3-  2- 2+ 2+ 3+   18o      9 0.5
051125  4- 3+ 3+ 2-  1+ 2+ 2- 2+   20-     12 0.7
051126  2o 1- 1+ 2o  1+ 1+ 1- 1o   10+ Q0   5 0.2
051127  0+ 1o 1- 1-  0o 1- 1- 1+    5+ Q2   3 0.1
051128  0+ 0+ 2o 2o  3+ 2o 2+ 3-   15o      8 0.4
051129  3- 0+ 1- 1-  1- 2- 2- 5-   13o      9 0.5
051130  3o 3- 2+ 4+  3o 2- 2o 3+   22+ D5* 14 0.8
0511                                  Mean  8 0.43

0511 Q 16  27  10   8  17   9  15  18  21  26 
0511 D  3   4  13*  6* 30*
