050801  3+ 2- 3o 4-  3- 3o 3- 3o   23o     14 0.8
050802  2+ 3- 2- 3o  3- 2o 2o 1o   17+      9 0.5
050803  2- 2o 1+ 1o  1+ 2+ 3o 3+   16o      9 0.5
050804  3- 2- 3- 2o  2+ 2- 1+ 2+   17-      8 0.4
050805  1- 1o 1o 1o  1+ 3- 3+ 3-   14-      8 0.4
050806  4o 4+ 4+ 5-  4- 4- 5- 3+   33- D3  29 1.3
050807  3o 3+ 3+ 4-  2+ 1+ 3- 3-   22+     14 0.8
050808  2o 1+ 2- 1o  3- 2- 1- 2+   13+ Q0   6 0.3
050809  2+ 2+ 1+ 2-  2o 2- 3o 3-   17o      9 0.5
050810  3- 2- 4o 4+  4+ 2+ 1- 1-   21-     16 0.9
050811  1- 0o 1o 1o  1+ 0+ 0+ 0+    5o Q1   3 0.0
050812  1o 1o 1o 0+  1o 1o 1+ 3o   10- Q4K  5 0.2
050813  3- 3+ 2o 3+  3- 1o 4o 4o   23o D5* 16 0.9
050814  3+ 3+ 1+ 1+  1+ 1- 1+ 2-   14+      8 0.4
050815  0+ 1- 0+ 1o  2- 2+ 2o 3o   11+ Q8K  6 0.3
050816  3o 4- 2+ 3-  3+ 2+ 2+ 4-   23+     14 0.8
050817  3+ 3- 2o 2o  3o 3- 3- 3+   22-     13 0.7
050818  3o 2o 3o 3o  3- 3- 3- 2+   21+     12 0.7
050819  2+ 1+ 1+ 2o  2- 1- 2- 2-   13- Q7   6 0.3
050820  2- 1- 0o 0+  1o 1- 1o 0+    6- Q2   3 0.1
050821  1- 1o 1- 1-  2o 5- 2+ 2o   14o      9 0.5
050822  2+ 3+ 1+ 1+  2+ 2+ 1+ 3-   17o      9 0.5
050823  2o 1+ 2- 2-  3- 2+ 2- 2-   15o      7 0.4
050824  3- 3+ 6+ 9-  7+ 7- 6+ 4+   46- D1 102 1.9
050825  5- 3+ 2+ 3-  4- 5o 4- 2+   28- D4  22 1.1
050826  3- 3- 2+ 1o  0o 1o 1o 2-   12+ Q9K  6 0.3
050827  3- 2- 2o 1+  1o 0+ 0+ 1-   10o Q6   5 0.2
050828  2o 1+ 0+ 1o  1- 1o 1+ 3-   10+ Q5   5 0.2
050829  3o 3+ 2o 1o  1- 1- 0o 1-   11+      7 0.3
050830  0+ 0+ 0o 0+  0o 0+ 3- 2-    6- Q3   3 0.1
050831  1+ 2+ 2+ 3-  5o 7o 7- 6-   33o D2  49 1.6
0508                                  Mean 14 0.58

0508 Q 11  20  30  12K 28  27  19  15K 26K  8 
0508 D 24  31   6  25  13*
