060101  3- 1+ 1- 1o  3- 2- 1+ 2-   13o      7 0.3
060102  2- 2o 2- 2o  1o 1+ 1o 3-   13+      6 0.3
060103  2+ 1- 0o 0o  1- 2- 1+ 0o    7-      3 0.1
060104  0+ 1o 0+ 1-  0+ 0+ 1- 0o    4- Q4   2 0.0
060105  0o 0o 1+ 1+  1+ 1o 1o 1o    7o      3 0.1
060106  2- 2+ 2- 1+  3o 2+ 1+ 1o   15-      7 0.4
060107  2o 2- 2- 1+  1+ 3- 1- 0+   12-      6 0.3
060108  0o 0+ 2- 2-  1+ 1o 0+ 1-    7o      4 0.1
060109  0o 1- 0o 0+  0o 0o 0o 0o    1o Q1   1 0.0
060110  0o 0o 0o 0o  1- 1o 0+ 0+    2+ Q2   1 0.0
060111  1- 0o 0o 1-  1o 1+ 1- 0+    5- Q7   2 0.0
060112  2- 1+ 1o 1-  0o 0+ 1- 1o    7- Q0   3 0.1
060113  1o 0o 0o 0+  1o 2- 1o 1-    6- Q8   3 0.1
060114  1- 0+ 0o 1o  1o 1+ 2- 0+    6+ Q9   3 0.1
060115  2o 1+ 1- 0+  0+ 2o 3- 2-   11o      6 0.2
060116  1- 3- 2+ 3-  3o 3o 3o 3+   21- D3* 12 0.7
060117  3o 4- 2+ 2o  2- 2- 1+ 1o   17-      9 0.5
060118  2+ 2+ 3- 4o  1+ 3- 1+ 2o   19- D4* 11 0.6
060119  2o 1+ 2- 2o  3- 2+ 2- 3-   16+      8 0.4
060120  2o 1- 1- 2-  2o 3- 3o 2-   14+      7 0.4
060121  2- 2+ 1o 2-  2- 0+ 0o 0o    9-      4 0.1
060122  0o 1- 1+ 2o  3- 3- 0+ 1o   11-      6 0.3
060123  1+ 4- 3+ 4-  3+ 3- 2+ 4-   24o D2* 16 0.9
060124  3o 3o 3- 1+  1- 1- 0o 1o   12+      7 0.4
060125  2- 1- 0+ 1+  1- 2- 3o 4-   13o      8 0.4
060126  4o 4+ 2o 3+  3o 5+ 4+ 5+   32- D1  30 1.3
060127  3+ 2- 2+ 3-  3- 2+ 2+ 3-   20o D5* 11 0.6
060128  2+ 2o 2- 2-  1o 0+ 2+ 2-   13o      6 0.3
060129  1o 1o 1- 0+  0o 0o 0o 1-    4- Q6   2 0.0
060130  1o 0+ 0+ 1-  0o 0+ 0o 0o    3- Q3   2 0.0
060131  0o 0+ 0o 0o  1- 1+ 0+ 0+    3o Q5   2 0.0
0601                                  Mean  6 0.29

0601 Q  9  10  30   4  31  29  11  13  14  12 
0601 D 26  23* 16* 18* 27*
