050701  2+ 2- 1+ 1-  2o 4+ 4+ 4-   20+     14 0.8
050702  4o 2o 2+ 2+  2- 2+ 3- 3+   21-     12 0.7
050703  3o 2o 2- 2o  2o 1o 1o 2+   15o      7 0.4
050704  1+ 1+ 1o 1o  1- 1o 1- 2-    9- Q7   4 0.1
050705  1o 1o 1o 1+  1+ 0+ 0+ 1o    7+ Q3   4 0.1
050706  1o 1- 1o 1-  1- 1o 1- 1+    7o Q1   4 0.1
050707  1- 1+ 1+ 1o  2o 2+ 1+ 3-   13- Q0   6 0.3
050708  1+ 1o 0+ 1-  1o 1o 1o 1+    8- Q5   4 0.1
050709  2o 2o 3- 4-  5o 4+ 4+ 4+   28+ D4  24 1.2
050710  4o 4+ 4+ 6-  6+ 5+ 6- 6o   42- D1  57 1.7
050711  4- 3+ 4o 3+  3o 3o 5o 2o   27+     21 1.1
050712  5- 5+ 4o 5+  6+ 4+ 2o 1+   33+ D2  40 1.4
050713  2- 3o 5o 5o  5+ 4+ 3+ 4-   31+ D3  31 1.3
050714  1+ 3o 2+ 2-  2o 1o 0+ 1o   13-      6 0.3
050715  0+ 1o 1o 1o  1+ 1o 2o 2-    9+ Q9   4 0.2
050716  3o 2+ 2+ 1o  2- 2+ 2o 2o   17-      8 0.4
050717  3- 2o 3+ 5o  3o 3+ 2+ 5o   27-     22 1.1
050718  4+ 5+ 5+ 2+  2+ 1+ 2o 4-   27-     24 1.2
050719  3- 1+ 2- 1o  1+ 1+ 2- 3o   14o      7 0.4
050720  3o 2+ 2+ 4-  5- 3+ 4o 3+   27-     20 1.0
050721  5o 5o 4o 2+  2- 3- 2+ 3-   26-     21 1.1
050722  3o 2+ 1+ 1+  3o 3+ 3+ 3-   20+     12 0.7
050723  1+ 1- 1+ 1-  1- 2o 1- 1+    9- Q8   4 0.1
050724  0+ 0+ 1- 1-  2- 1o 1+ 1-    7- Q2   4 0.1
050725  1+ 1o 1o 0+  1- 1- 1- 2-    7+ Q4   4 0.1
050726  1o 1- 1o 1o  1- 1o 1o 2-    8o Q6   4 0.1
050727  1o 2+ 2- 1o  3- 2o 4- 5o   19+     14 0.8
050728  3o 5+ 3o 3-  5- 3- 3o 3+   28- D5  23 1.1
050729  3- 3+ 3- 3-  3o 4+ 3+ 3o   25o     17 0.9
050730  4- 3- 3+ 2+  1+ 1o 2- 2-   18-     10 0.6
050731  2- 2o 2- 1+  3- 1- 1+ 3+   15-      8 0.4
0507                                  Mean 14 0.64

0507 Q  6  24   5  25   8  26   4  23  15   7 
0507 D 10  12  13   9  28 
