  5 10  1 15 18 18  9  6  6 15 18 72.3
  5 10  2 22 22 22  9  7 18  6 12 75.0
  5 10  3 12 12  7  6  4  3  5  5 74.4
  5 10  4  5  5  2  4  4  2  3  2 82.7
  5 10  5  3  4  3  3  4  3  5  3 81.3
  5 10  6  4  5  3  3  5  5  5  2 79.4
  5 10  7  6  7  6  7  7  7 15 39 78.7
  5 10  8 32 32 32 27 15  7 39 22 78.0
  5 10  9 15  7  6  7  7  4 15 18 78.7
  5 10 10 15 12 12 15  6  3  3 12 78.8
  5 10 11 18  6  3  3  6  7  6  6 77.3
  5 10 12  2  3  2  0  3  0  0  4 76.5
  5 10 13  3  4  4  4  3  3  7  3 77.6
  5 10 14  3  7  2  2  2  0  0  2 78.0
  5 10 15  2  3  3  2  2  0  3  3 79.1
  5 10 16  2  6  7  5  5  7  7 18 78.7
  5 10 17 18 32 18 12 12 12  4  2 77.5
  5 10 18  3  9  4  4  7  6  6  3 77.7
  5 10 19  7 12  5  5  7  7  4  5 77.2
  5 10 20  5  2  4  3  0  2  2  3 76.0
  5 10 21  0  0  0  2  0  0  2  9 74.6
  5 10 22 27 12  4  2  4  2  5  4 74.0
  5 10 23  4  2  2  2  3  3  3  0 73.4
  5 10 24  4  2  0  2  5  7  7  5 72.5
  5 10 25 27 32 22 27  6 18 15 22 72.1
  5 10 26  7  7 15  7  7 22 15  6 71.2
  5 10 27 15  4  2  7 12 18  7  2 70.7
  5 10 28  2  3  5  7  7  5  7  5 72.1
  5 10 29  2  0  5  2  0  5  6  2 73.1
  5 10 30  4  7  2  4  4  4  7  7 74.5
  5 10 31  4  7  5  6 15 27 48 27 76.7
  5 11  1 18  7  3  6  6 18  6 12 76.1
  5 11  2  6  6  3  2  4  4 22 22 76.8
  5 11  3 22 39 15 22 18 27 27 18 75.5
  5 11  4 22 32 18 15 12 18 32  9 76.1
  5 11  5 15 18 27  6  7 12  7 15 77.9
  5 11  6 27 12  9 12  6 18 15 15 80.3
  5 11  7 15  6  7  5  4  6  6  6 78.0
  5 11  8  4  3  4  3  0  4  4  3 77.9
  5 11  9  9  3  2  3  0  3  3  3 76.6
  5 11 10  0  0  4  2  0  0  4  6 76.4
  5 11 11  3 12  4  4  4  7  5  4 77.0
  5 11 12 12 15  7  7 15 18 12  9 81.4
  5 11 13 15 27 12  9 12 15  6 18 86.0
  5 11 14 18 18  6  7  7  3  6  7 90.4
  5 11 15  5  4  6  6  5  2  3  5 97.8
  5 11 16  2  5  2  2  2  4  3  4 91.8
  5 11 17  3  0  9  3  0  0  0  0 98.2
  5 11 18  0  0  4  2  5  7  9  2 98.8
  5 11 19  4  3  2  0  5 27 27 18 99.6
  5 11 20  5 12 15  7  4  6  6  7 94.1
  5 11 21  7  9  3  3  3  4  4  2 92.4
  5 11 22  5  2  7  5  7  9  6  9 90.3
  5 11 23  6 12 12  6  7  6  5  6 87.5
  5 11 24  6  7  7 12  6  9  9 18 84.4
  5 11 25 22 18 18  6  5  9  6  9 77.9
  5 11 26  7  3  5  7  5  5  3  4 78.7
  5 11 27  2  4  3  3  0  3  3  5 78.6
  5 11 28  2  2  7  7 18  7  9 12 79.7
  5 11 29 12  2  3  3  3  6  6 39 82.4
  5 11 30 15 12  9 32 15  6  7 18 92.0
  5 12  1 32 12  6 12 12  9 15 39 95.5
  5 12  2 18 18 18 15 12  7 15 18103.3
  5 12  3 27 15  6  9 12 18 18 12 98.4
  5 12  4  6  3  4  5  7  6 12  5 92.5
  5 12  5  5  5  2  3  2  2  3  0 89.0
  5 12  6  0  2  3  3  4  2  2  3 86.5
  5 12  7  0  0  2  0  0  0  0  2 86.3
  5 12  8  0  0  0  0  0  2  3  4 86.9
  5 12  9  6  2  2  3  2  4  6 22 86.4
  5 12 10 15 32 18  4  6  7 15 15 88.7
  5 12 11 22  9 12 27 12 39 32 15 90.2
  5 12 12 15 18  7  5  7 15 15 15 85.6
  5 12 13  3  6  4  3  9  4  7  6 85.2
  5 12 14  2  4  6  3  3  0  3  2 86.8
  5 12 15  4  3  3  4  0  0  0  2 84.2
  5 12 16  5 18  5  6  5  7  7  3 83.1
  5 12 17  0  4  5  6  6  3  2  3 82.5
  5 12 18  5  3  3  6  5  2  0  4 82.8
  5 12 19  4  4  5  4  9  9 22 22 86.6
  5 12 20 27 18  9  7 18 15 27 15 84.9
  5 12 21  5  7  9 12 15 15  5  6 83.7
  5 12 22 12  4  5  5  2  2  4  3 84.8
  5 12 23  2  0  0  0  0  0  0  0 90.1
  5 12 24  0  0  2  5  9  4  6  6 88.9
  5 12 25  5 12  7  6  9  5  2  3 88.8
  5 12 26  0  0  4  2  5  6 15 18 89.5
  5 12 27 15  4  2  4 12 27 39 56 89.2
  5 12 28 22 12 12 15 15 15 18 32 86.1
  5 12 29 18 15 18 12  9 12  7 12 87.4
  5 12 30 12 15  6  7  4  7  7  9 86.9
  5 12 31 15  9  9  4 12 15  7 18 84.5
  6  1  1 12  5  3  4 12  6  5  6 84.5
  6  1  2  6  7  6  7  4  5  4 12 81.7
  6  1  3  9  3  0  0  3  6  5  0 82.1
  6  1  4  2  4  2  3  2  2  3  0 81.2
  6  1  5  0  0  5  5  5  4  4  4 80.6
  6  1  6  6  9  6  5 15  9  5  4 79.3
  6  1  7  7  6  6  5  5 12  3  2 76.6
  6  1  8  0  2  6  6  5  4  2  3 75.6
  6  1  9  0  3  0  2  0  0  0  0 75.0
  6  1 10  0  0  0  0  3  4  2  2 75.2
  6  1 11  3  0  0  3  4  5  3  2 74.7
  6  1 12  6  5  4  3  0  2  3  4 74.0
  6  1 13  4  0  0  2  4  6  4  3 74.0
  6  1 14  3  2  0  4  4  5  6  2 74.9
  6  1 15  7  5  3  2  2  7 12  6 78.3
  6  1 16  3 12  9 12 15 15 15 18 81.1
  6  1 17 15 22  9  7  6  6  5  4 79.8
  6  1 18  9  9 12 27  5 12  5  7 82.9
